temperature,humidity,cloud_cover,irradiance,hour,month,solar_output
18.3,65,73,0.0,6,7,0.37
12.6,43,39,214.2,11,11,1.31
11.6,39,46,285.5,12,8,1.94
10.6,64,64,75.0,8,11,0.36
21.5,54,28,521.0,13,1,3.12
23.9,32,49,371.4,10,6,2.19
22.4,76,97,74.5,14,8,0.37
23.0,67,12,759.5,10,5,4.53
28.4,46,0,873.2,14,4,4.84
22.2,41,33,366.1,15,2,2.13
22.9,83,92,126.8,9,6,1.03
23.1,81,47,528.8,14,6,2.98
7.4,53,76,132.8,10,11,0.58
22.3,58,47,137.9,15,1,0.84
9.7,72,48,278.6,14,9,1.69
15.5,54,63,83.9,8,12,0.58
10.0,65,60,256.5,9,11,1.52
22.9,87,28,556.4,14,6,3.35
33.7,89,38,362.3,15,3,2.03
32.8,55,87,5.3,16,4,0.0
9.4,67,25,488.7,11,12,2.92
5.4,30,16,152.8,7,11,1.06
33.1,49,70,481.3,12,4,2.9
27.1,84,12,222.1,7,3,0.97
5.1,57,68,74.8,16,10,0.5
31.8,45,25,173.4,7,3,0.83
29.2,76,48,239.7,16,3,1.69
30.8,46,66,0.0,6,4,0.07
22.4,69,6,342.0,16,7,2.23
26.1,57,57,201.3,16,4,1.21
6.4,87,48,0.0,17,9,0.0
24.7,41,52,194.2,16,1,1.46
10.7,56,64,73.3,8,8,0.63
16.3,83,61,143.0,11,7,0.88
21.9,82,16,730.4,13,2,4.34
21.2,71,42,240.9,14,8,1.1
21.5,88,24,581.9,12,1,3.56
14.2,76,2,337.6,9,11,2.0
15.6,59,78,172.5,11,12,1.15
9.5,70,28,410.0,10,9,2.63
13.2,63,31,299.7,13,9,2.04
20.3,66,25,0.0,6,2,0.07
16.7,35,15,34.2,6,7,0.0
12.2,36,24,0.0,18,10,0.0
24.6,61,53,309.0,16,3,1.69
19.4,61,27,448.4,11,7,2.96
14.6,82,72,74.3,15,12,0.81
8.4,54,55,90.6,17,10,0.5
5.5,62,64,0.0,7,9,0.0
28.1,84,92,179.4,10,4,0.93
12.5,87,85,18.5,6,12,0.34
20.5,36,79,167.6,12,1,0.89
25.3,81,40,18.4,6,2,0.23
21.1,86,50,210.5,9,1,1.3
13.0,41,70,126.2,14,12,0.9
30.2,45,77,0.0,6,5,0.36
24.0,45,28,511.6,9,5,3.19
5.9,72,82,96.2,11,11,0.61
13.0,82,18,588.3,11,7,3.92
9.8,65,65,66.7,17,9,0.47
9.1,42,40,76.5,18,9,0.3
31.0,36,44,555.2,13,3,3.39
26.7,65,14,59.7,6,3,0.45
29.5,76,2,988.6,12,3,5.76
32.4,80,10,114.7,6,4,0.56
12.9,38,52,0.0,18,8,0.0
25.9,61,45,484.7,12,6,2.79
18.0,40,29,266.1,8,8,1.54
16.3,37,56,192.9,16,1,0.99
15.1,62,17,514.1,13,8,3.16
28.0,52,50,310.8,8,4,1.91
7.8,54,47,0.0,18,11,0.07
15.4,85,65,18.8,6,1,0.1
11.4,37,95,15.6,18,8,0.06
30.2,74,7,6.7,18,4,0.33
20.2,51,21,659.2,13,6,3.97
13.3,88,5,183.0,8,8,1.35
32.4,33,75,127.8,7,4,0.54
30.0,69,56,18.7,6,3,0.23
9.7,32,35,205.9,8,9,1.09
33.7,58,78,0.0,7,3,0.0
17.0,70,91,46.0,7,9,0.19
25.1,58,56,395.5,11,2,2.28
17.6,63,48,132.1,17,2,0.7
27.7,63,44,0.0,6,2,0.24
18.1,57,81,86.8,7,6,0.53
33.1,42,65,376.6,11,3,2.23
14.6,44,76,17.0,8,9,0.01
35.3,89,44,431.4,9,4,2.65
20.8,52,78,0.0,6,1,0.07
28.9,73,19,796.6,13,4,4.64
18.6,55,63,0.0,18,1,0.0
27.0,33,92,199.2,12,5,1.23
32.9,55,92,156.3,12,4,1.02
17.1,69,66,44.2,8,8,0.07
15.4,38,82,148.0,15,8,0.83
17.8,84,2,517.9,15,7,3.21
36.5,34,53,234.6,8,3,1.03
22.7,85,77,0.0,7,1,0.0
15.2,61,63,87.3,17,1,0.6
13.5,49,39,6.2,6,12,0.26
14.1,79,58,256.6,12,11,1.98
26.3,40,54,471.2,12,3,3.2
26.1,44,61,159.0,17,6,0.98
22.9,61,3,149.3,7,7,0.8
14.8,57,59,331.4,12,6,2.17
24.7,51,74,0.0,18,6,0.0
24.8,70,94,123.3,13,6,0.59
27.4,46,95,0.0,6,3,0.0
25.9,88,90,156.3,14,6,0.85
17.0,55,29,401.9,12,8,2.49
11.8,73,1,267.0,8,11,1.48
10.2,36,61,178.7,13,11,1.09
26.9,71,48,383.0,12,2,2.6
28.8,86,8,439.3,16,5,2.62
19.3,55,91,0.0,18,1,0.3
11.1,54,30,401.4,13,12,2.65
15.3,39,97,138.7,11,1,0.95
24.7,88,60,333.0,14,5,1.93
15.8,74,78,212.9,10,12,1.49
28.4,48,47,319.0,8,3,1.84
25.6,40,24,452.3,8,4,2.71
30.6,42,35,9.5,6,3,0.12
24.1,82,7,120.1,17,1,0.72
18.2,37,72,277.0,13,1,1.52
9.8,69,57,38.1,7,12,0.0
12.9,33,100,33.4,8,12,0.39
31.2,76,44,551.4,13,5,3.34
26.6,60,61,426.5,13,6,2.2
25.9,57,38,352.3,16,3,1.96
19.6,40,95,52.4,9,12,0.35
15.4,72,57,54.0,9,9,0.41
26.5,30,80,201.0,10,5,0.9
12.8,78,98,97.9,11,8,0.57
18.2,76,100,74.6,10,1,0.56
27.1,81,82,176.3,12,5,0.98
31.5,67,63,17.2,7,3,0.15
16.3,53,43,346.9,12,12,1.98
22.6,83,28,317.4,15,1,2.09
32.0,89,58,430.0,12,4,2.35
33.8,86,70,33.6,6,5,0.0
16.8,76,91,186.8,12,7,1.13
21.1,60,8,525.0,10,1,2.86
22.1,70,91,84.6,8,3,0.09
21.0,75,5,0.0,18,2,0.22
11.1,79,28,156.4,8,9,0.74
11.3,55,57,139.8,9,10,0.57
24.7,78,16,37.8,18,6,0.06
8.3,79,15,55.9,17,10,0.16
27.5,34,86,0.0,7,3,0.0
19.1,49,94,106.4,7,8,0.42
13.8,81,2,54.5,6,8,0.43
30.2,70,20,548.4,10,2,3.35
27.4,40,63,267.0,9,6,1.33
21.4,85,89,120.2,16,7,0.6
21.4,83,35,449.2,15,2,2.59
14.1,62,100,34.5,7,11,0.17
8.5,79,85,38.5,8,10,0.45
21.4,67,61,469.7,12,2,3.05
11.5,56,41,263.4,12,10,2.08
15.8,63,75,33.1,17,1,0.0
12.7,44,41,289.0,9,8,1.55
20.0,61,60,283.7,10,1,2.06
18.0,90,12,357.5,10,9,1.79
9.3,87,10,397.1,11,11,2.74
23.6,50,53,409.8,14,6,2.49
22.2,75,15,107.8,7,7,0.68
6.3,34,7,252.0,10,10,1.26
21.3,35,58,158.3,17,7,0.86
13.6,67,56,111.7,8,10,1.02
27.7,51,39,479.0,9,3,2.83
28.1,47,58,199.3,15,2,1.09
12.2,43,1,474.7,11,9,2.93
12.8,39,93,0.0,17,8,0.0
14.4,75,93,46.3,13,12,0.35
8.9,42,75,0.0,6,10,0.0
19.7,60,9,406.0,15,7,2.42
11.8,59,43,260.6,13,9,1.44
31.8,32,10,448.2,16,4,2.26
31.5,59,78,351.0,12,4,2.15
12.7,35,79,75.7,6,1,0.21
14.7,58,80,113.9,7,8,0.65
10.5,37,89,0.0,8,12,0.19
27.8,73,1,0.0,6,3,0.0
19.6,74,49,225.1,14,7,1.47
17.9,72,11,419.0,13,12,2.45
24.9,73,89,11.3,7,2,0.0
25.8,62,22,20.5,18,2,0.53
22.4,46,17,487.5,14,7,2.92
28.7,77,61,358.7,12,6,2.01
28.3,40,95,129.6,14,3,0.61
11.6,42,61,106.3,11,9,0.81
10.0,79,37,215.8,11,10,1.17
23.4,40,66,147.4,16,6,1.04
7.7,60,37,178.5,9,10,1.07
3.2,57,66,118.7,15,10,0.94
21.8,73,93,173.0,15,6,0.83
14.7,35,60,45.4,18,1,0.09
33.8,70,0,0.0,18,4,0.0
10.6,45,93,3.8,7,10,0.0
24.6,33,44,496.9,12,6,2.91
22.8,64,95,81.0,10,6,1.01
11.4,89,27,180.2,16,11,1.49
12.5,77,20,342.6,11,12,2.12
29.2,85,12,265.6,7,5,1.65
20.7,88,26,549.0,10,1,3.25
12.4,55,99,28.9,15,8,0.0
26.0,86,6,627.6,9,5,3.71
17.9,41,21,394.1,14,12,2.52
14.8,40,73,233.2,11,12,1.66
12.7,66,52,59.5,7,12,0.56
27.5,54,78,46.7,6,5,0.0
17.0,47,78,205.1,10,7,1.17
29.8,48,3,960.7,14,4,5.36
27.5,52,95,102.6,11,6,0.84
29.9,84,22,468.3,15,4,2.67
35.8,67,69,22.5,17,3,0.12
21.3,83,87,152.5,12,7,1.01
15.7,47,83,171.9,10,8,1.58
27.3,55,100,38.1,15,4,0.28
24.3,35,83,196.2,11,2,1.13
12.7,33,75,189.0,10,12,0.89
3.5,73,32,94.1,16,10,0.86
31.6,80,27,598.7,14,3,3.46
18.5,58,7,575.2,11,1,3.78
12.7,88,0,333.9,16,8,2.22
29.3,90,36,703.8,13,3,4.06
16.5,63,62,0.0,7,12,0.0
9.0,46,21,76.9,17,10,0.52
20.0,72,69,70.4,18,7,0.3
12.2,72,20,304.0,14,10,1.83
27.6,82,95,96.1,10,5,0.78
10.9,45,34,200.3,12,10,0.87
23.7,31,78,259.9,15,5,1.61
16.3,63,4,18.0,18,7,0.26
13.2,84,59,0.0,6,9,0.16
11.1,37,45,290.9,15,12,1.47
29.4,42,49,384.6,10,5,2.35
19.6,71,47,93.5,17,1,0.8
8.9,37,5,256.9,15,10,1.61
7.5,59,88,102.5,7,10,0.59
22.7,61,55,78.4,17,1,0.7
30.2,65,58,379.2,11,2,2.09
25.9,76,28,249.7,16,6,1.19
12.3,59,70,0.0,6,9,0.0
13.0,30,76,46.0,8,8,0.38
25.1,72,17,665.8,10,5,4.2
19.9,68,1,490.8,9,1,3.05
17.1,46,7,206.2,8,7,1.4
23.3,88,74,151.2,15,5,1.12
27.4,49,96,0.0,18,6,0.0
22.6,53,53,323.1,10,7,1.91
26.1,79,37,308.4,16,3,2.1
15.7,51,47,304.5,13,12,1.58
13.0,58,26,132.7,16,10,0.88
29.3,51,19,561.7,9,3,3.17
25.1,73,11,21.7,6,5,0.35
24.3,38,42,285.7,16,6,1.71
15.3,66,60,168.0,12,9,1.01
15.7,39,30,433.6,13,12,2.95
30.3,65,90,99.0,8,5,0.37
21.0,66,95,159.7,11,1,1.0
27.4,57,60,190.7,7,4,1.1
26.8,57,73,257.1,12,5,1.64
16.0,71,66,172.7,13,12,1.42
12.5,72,90,114.1,11,10,0.56
13.3,50,34,184.9,11,10,0.87
26.1,53,94,199.0,10,5,1.03
21.3,71,14,573.8,13,7,3.4
33.6,89,15,28.8,6,4,0.18
17.0,69,12,435.7,15,1,2.64
33.1,31,34,401.4,9,5,2.69
24.9,84,74,218.1,9,7,1.63
17.9,37,58,233.1,8,10,1.66
10.7,77,20,138.2,8,10,1.33
25.7,56,53,298.2,9,6,1.95
31.1,51,74,27.8,16,5,0.38
32.4,66,29,67.6,6,4,0.55
28.4,56,47,290.8,16,2,1.85
32.4,86,34,0.0,18,4,0.08
9.7,58,85,0.0,16,10,0.0
13.7,32,37,0.0,7,10,0.0
25.4,73,30,639.0,14,3,3.8
10.0,42,77,124.1,15,10,0.86
24.7,74,23,97.5,7,1,0.6
11.2,39,48,295.5,10,8,1.56
26.6,65,95,128.5,14,5,0.73
32.0,38,99,76.0,14,4,0.4
16.2,83,31,431.5,13,8,2.58
17.4,85,54,0.0,6,7,0.1
23.8,84,78,57.4,6,2,0.49
16.5,56,57,258.8,14,1,1.45
17.9,63,98,89.1,18,12,0.73
10.6,80,2,165.9,16,11,1.22
35.4,30,79,261.6,13,4,1.57
15.2,61,68,153.8,15,8,1.06
14.3,54,84,118.8,14,12,0.91
24.0,58,9,805.7,12,2,4.61
27.9,36,82,61.5,8,3,0.58
15.3,78,24,213.7,8,12,1.12
27.5,32,67,78.8,7,1,0.33
19.0,49,60,252.5,10,1,1.55
27.7,49,28,206.0,17,3,0.79
11.5,82,18,28.2,17,11,0.2
31.9,59,42,282.2,8,5,1.84
10.7,64,65,182.8,11,12,0.77
30.0,64,73,69.0,7,3,0.62
17.5,78,60,155.7,17,1,0.79
21.7,68,42,291.0,8,1,1.79
13.5,56,24,437.0,10,8,2.51
3.1,55,19,62.7,17,10,0.49
12.4,43,47,172.4,16,11,1.24
16.1,46,82,77.7,16,12,0.6
13.3,47,86,2.3,6,12,0.01
23.1,74,23,0.0,18,2,0.0
24.7,81,10,87.9,6,3,0.51
27.3,58,97,144.6,15,2,0.99
31.3,49,54,464.5,14,3,2.85
17.4,82,27,521.4,12,7,3.24
18.4,56,68,2.0,6,1,0.0
9.8,47,62,72.3,17,10,0.43
21.8,33,58,227.9,13,8,1.24
11.6,30,4,239.7,8,10,1.57
7.2,79,50,166.4,13,10,0.85
10.9,30,20,303.6,10,10,1.91
20.9,87,11,0.0,6,2,0.0
30.8,55,49,509.0,12,3,2.61
16.4,74,3,474.8,10,9,3.04
25.0,49,41,478.5,11,7,2.87
32.2,81,83,321.2,11,4,2.13
8.2,52,37,224.3,13,10,1.01
24.8,39,24,656.9,14,5,3.88
20.8,88,13,258.4,7,2,1.51
2.9,40,74,159.0,14,11,1.01
17.1,70,31,128.1,17,8,0.5
29.7,70,10,536.5,16,4,3.27
14.1,34,60,91.2,15,9,0.93
32.9,87,17,694.8,14,5,4.13
11.6,30,26,0.0,18,9,0.02
30.4,46,54,308.7,15,4,1.54
8.6,51,53,201.6,15,10,1.05
27.6,63,81,214.2,12,5,1.26
13.5,85,86,36.8,6,9,0.11
14.5,74,74,266.6,12,8,1.8
27.7,70,20,547.6,15,3,3.36
19.9,58,43,397.6,10,1,2.92
31.3,33,4,930.9,11,3,5.25
27.9,34,86,98.7,15,4,0.59
24.8,40,40,513.2,12,2,2.8
20.7,85,58,239.6,10,1,0.99
23.5,80,88,118.8,12,7,0.86
14.3,50,53,284.9,14,8,1.81
17.8,64,73,90.3,8,7,0.37
27.2,41,21,750.1,13,5,4.48
18.2,55,82,0.0,7,12,0.0
26.1,80,64,209.7,16,1,1.15
16.1,48,63,275.8,12,7,1.59
16.7,74,70,76.1,18,7,0.28
10.8,89,3,113.9,7,9,0.54
29.0,36,64,217.4,9,3,1.15
13.7,76,14,376.2,12,9,2.34
17.3,84,75,60.6,8,1,0.0
16.8,36,21,176.4,7,1,1.01
30.4,55,85,104.4,16,4,0.4
10.6,69,46,190.6,15,9,0.93
27.8,34,80,219.5,12,6,1.2
12.8,50,92,0.0,6,11,0.0
30.3,43,45,502.9,13,3,2.91
19.7,33,13,350.9,8,1,1.89
37.1,52,49,136.0,17,4,0.92
12.5,71,19,102.3,17,12,0.43
13.2,49,49,0.0,18,9,0.0
24.9,44,32,142.9,7,3,0.91
11.8,79,58,115.9,8,12,0.76
9.5,81,42,247.4,10,9,1.36
24.9,74,78,52.6,16,7,0.0
15.8,58,11,434.2,13,12,2.43
28.2,37,39,527.8,15,4,3.16
29.8,70,19,777.5,12,3,4.71
10.1,77,93,37.6,12,10,0.21
27.2,48,37,98.5,17,5,0.49
24.5,77,2,985.1,12,5,6.37
33.0,68,27,649.0,13,3,3.7
15.6,75,55,0.0,6,12,0.12
17.9,57,89,0.0,9,9,0.0
32.8,75,93,40.9,18,4,0.02
13.0,86,12,438.1,11,11,2.76
27.4,56,76,286.9,14,5,1.91
26.7,33,65,0.0,18,4,0.0
28.0,87,36,209.9,7,5,0.87
16.6,44,48,0.0,6,7,0.0
13.3,64,65,0.0,18,9,0.04
24.9,66,35,319.9,15,7,1.94
27.9,30,53,109.8,17,5,0.54
12.8,32,25,55.0,7,10,0.3
7.9,76,74,197.3,12,10,1.03
19.1,53,71,226.9,8,7,1.14
7.6,56,39,115.1,15,10,0.84
22.3,69,42,120.1,7,5,0.74
28.6,90,21,396.3,16,3,2.31
20.4,65,19,560.9,12,7,3.26
14.5,63,7,20.0,18,11,0.08
13.7,58,28,45.8,18,11,0.31
27.4,53,39,180.2,7,2,1.42
12.1,53,89,85.2,8,12,0.64
12.7,71,29,245.6,16,9,1.34
14.7,33,80,32.6,12,10,0.06
11.1,32,83,145.6,9,10,0.71
20.5,63,54,0.0,18,12,0.0
26.1,86,15,39.3,6,1,0.07
24.2,78,45,0.0,18,6,0.09
17.9,52,61,228.0,10,7,0.84
12.7,82,6,167.8,17,8,1.11
5.5,85,79,3.7,14,10,0.08
9.8,81,44,306.3,13,9,2.09
28.6,52,58,168.2,17,2,1.17
4.7,74,55,201.4,14,11,1.07
6.9,34,47,170.3,15,10,1.17
24.6,60,26,522.2,14,2,3.1
26.0,82,52,544.3,12,5,2.87
27.1,70,86,170.8,9,5,1.05
23.5,86,87,113.7,10,6,0.56
27.9,90,72,0.0,6,3,0.0
12.8,86,34,0.0,6,8,0.33
17.6,89,50,172.9,8,1,1.08
27.8,83,83,0.0,18,6,0.0
33.1,35,36,687.9,13,4,4.19
15.9,66,80,38.6,7,1,0.3
11.7,86,94,77.0,9,7,0.23
14.5,39,56,27.6,7,9,0.0
26.3,69,7,835.2,10,4,4.79
30.6,36,78,268.0,14,4,1.74
20.3,68,94,60.6,6,6,0.3
18.9,67,93,101.7,10,12,0.63
36.3,50,19,678.9,14,3,3.62
15.5,90,52,0.0,6,12,0.17
24.7,49,11,706.5,14,6,3.84
19.0,32,48,369.9,13,7,2.09
13.7,80,16,257.9,9,11,1.63
11.7,51,63,36.2,17,10,0.0
13.0,76,41,106.1,16,10,0.76
26.8,33,93,102.9,15,3,0.44
21.0,57,28,549.8,10,7,3.05
27.0,41,18,0.0,18,3,0.26
21.8,67,10,629.1,10,2,3.81
14.9,80,97,104.1,16,12,0.73
7.2,65,49,39.1,17,10,0.44
33.5,76,70,334.9,11,4,1.42
12.4,70,57,319.6,12,12,2.04
16.1,34,33,302.5,13,8,1.66
9.5,42,19,393.6,13,9,2.24
20.8,52,49,197.9,16,7,1.28
18.4,87,87,23.2,18,1,0.07
24.9,79,9,250.6,7,3,1.62
16.5,59,31,312.0,14,12,1.86
10.6,66,51,290.7,12,9,1.78
15.9,54,14,312.4,9,12,1.78
18.7,77,100,69.9,9,1,0.21
7.4,56,83,117.6,16,9,0.56
